id,category,parent,name,questiontext,questiontextformat,generalfeedback,generalfeedbackformat,defaultmark,penalty,qtype,length,stamp,version,hidden,timecreated,timemodified,createdby,modifiedby,idnumber
1,11,0,Q1,"<p><span style=""font-size:10pt"">Which of these is NOT a </span><strong><span style=""font-size:10pt"">common</span></strong><span style=""font-size:10pt""> type of record you </span><span style=""font-size:10pt"">would</span><span style=""font-size:10pt""> keep in your computer maintenance system</span></p>",1,"<p><span style=""font-size:10pt"">Software information may be stored but is not a common item to be recorded. </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173258+i9pZEm,assessment.accelerate-people.co.uk+201014173258+wPEOmO,0,1602696778,1602696778,2,2,
2,11,0,Q2,"<p><span style=""font-size:10pt"">Which of these is NOT a purpose for keeping maintenance records</span></p>",1,"<p><span style=""font-size:10pt"">Whilst it is likely you will have some organisational guidelines in place which may or may not include maintenance processes this is not the REASON you would keep the records.</span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173258+7iyDAp,assessment.accelerate-people.co.uk+201014173258+NWBBte,0,1602696778,1602696778,2,2,
3,11,0,Q3,"<p><span style=""font-size:10pt"">A </span><span style=""font-size:10pt"">NIC (Network Interface Card) - Also referred to as an Ethernet card</span><span style=""font-size:10pt""> is a basic computer component, </span><span style=""font-size:10pt"">a NIC will be given a hardware address, which is unique, what is NOT a valid example of this address?</span></p>",1,"<p><span style=""font-size:10pt"">MAC Address is a 12-digit hexadecimal number (6-Byte binary number), which is mostly represented by Colon-Hexadecimal notation. First 6-digits (say 00:40:96) of MAC Address identifies the manufacturer, called as OUI (Organizational Unique Identifier).</span><span style=""font-size:10pt""> Hex numbers run from 0 to F, anything above F is not valid (so G in this example is not valid)</span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+EEN2r0,assessment.accelerate-people.co.uk+201014174937+Rz3LiK,0,1602696779,1602697777,2,2,
4,11,0,Q4,"<p><span style=""font-size:10pt"">Read the descriptions below, which is incorrect?</span></p>",1,"<p><span style=""font-size:10pt"">Web Proxy Server: A proxy server sits between a client program (typically a Web browser) and an external server (typically another server on the Web) to filter requests, improve performance, and share connections.</span><span style=""font-size:10pt""> Whilst a web proxy can perform a degree of load balancing it is not its exclusive/primary purpose. </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+1rUrhH,assessment.accelerate-people.co.uk+201014173259+HdmpMt,0,1602696779,1602696779,2,2,
5,11,0,Q5,"<p><span style=""font-size:10pt"">A network is defined as a group of two or more computer systems linked together</span><span style=""font-size:10pt"">, which of the following is NOT a valid computer network type?</span></p>",1,"<p><span style=""font-size:10pt"">local-area networks (LANs): The computers are geographically close together (that is, in the same building).</span></p><p><span style=""font-size:10pt"">wide-area networks (WANs): The computers are farther apart and are connected by telephone lines or radio waves.</span></p><p><span style=""font-size:10pt"">campus-area networks (CANs): The computers are within a limited geographic area, such as a campus or military base.</span></p><p><span style=""font-size:10pt"">metropolitan-area networks (MANs): A data network designed for a town or city.</span></p><p><span style=""font-size:10pt"">home-area networks (HANs): A network contained within a user's home that connects a person's digital devices.</span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+ak0qZv,assessment.accelerate-people.co.uk+201014173259+5ODE4q,0,1602696779,1602696779,2,2,
6,11,0,Q6,"<p><span style=""font-size:10pt"">Which service model would you be using to access your emails through a browser?</span></p>",1,"<p><span style=""font-size:10pt"">Please review notes and diagram here </span><a href=""https://vle.tdm.co.uk/mod/page/view.php?id=9098""><span class=""Hyperlink-H"" style=""font-size:10pt"">https://vle.tdm.co.uk/mod/page/view.php?id=9098</span></a><span style=""font-size:10pt""> </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+4PfDv3,assessment.accelerate-people.co.uk+201014173259+FN6KHE,0,1602696779,1602696779,2,2,
7,11,0,Q7,"<p><span style=""font-size:10pt"">Which is true of a class B network?</span></p>",1,"<p><span style=""font-size:10pt"">Class A - supports 16 million hosts on each of 126 networks</span></p><p><span style=""font-size:10pt"">Class B - supports 65,000 hosts on each of 16,000 networks</span></p><p><span style=""font-size:10pt"">Class C - supports 254 hosts on each of 2 million networks</span></p><p><span style=""font-size:10pt"">Class D is used for </span><span style=""font-size:10pt"">muticast</span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+Ece3J9,assessment.accelerate-people.co.uk+201014173259+BykdyY,0,1602696779,1602696779,2,2,
8,11,0,Q8,"<p><span style=""font-size:10pt"">What are the correct ranges for classes A,B and C networks?</span></p>",1,"<p><span style=""font-size:10pt"">We usually simplify to the following, but the question is correct, the summart below is simplified to the first “octet” </span></p><p><span style=""font-size:10pt"">Class A – 1 to 126</span></p><p><span style=""font-size:10pt"">Class B – 128 to 191</span></p><p><span style=""font-size:10pt"">Class C – 192 to 223 </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+fADBo6,assessment.accelerate-people.co.uk+201014173259+5BPCZP,0,1602696779,1602696779,2,2,
9,11,0,Q9,"<p><span style=""font-size:10pt"">How might you go about finding out your EXTERNAL IP address on a Windows system?</span></p>",1,"<p><span style=""font-size:10pt"">Be sure to understand the difference between external and internal addresses, </span><a href=""https://vle.tdm.co.uk/mod/page/view.php?id=9104""><span class=""Hyperlink-H"" style=""font-size:10pt"">https://vle.tdm.co.uk/mod/page/view.php?id=9104</span></a> </p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+QHThje,assessment.accelerate-people.co.uk+201014173259+DeDEkU,0,1602696779,1602696779,2,2,
10,11,0,Q10,"<p><span style=""font-size:10pt"">Consider the following CIDR notations and their correspondong subnet masks, one of these does not match, which is it?</span></p>",1,"<p><span style=""font-size:10pt"">Please review the table here, </span><a href=""https://vle.tdm.co.uk/mod/page/view.php?id=9104""><span class=""Hyperlink-H"" style=""font-size:10pt"">https://vle.tdm.co.uk/mod/page/view.php?id=9104</span></a><span style=""font-size:10pt""> </span></p><p><span style=""font-size:10pt"">The CIDR is essentially the number of 1’s used to make the address, so 255 is 8 bits of 1, so each 255 octet is worth 8. 255 = 8, 255.255 = 16 and so on. </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+WvU7ay,assessment.accelerate-people.co.uk+201014173259+ERgvCO,0,1602696779,1602696779,2,2,
11,11,0,Q11,"<p><span style=""font-size:10pt"">DNS (Domain Name System) usees what port?</span></p>",1,"<p><span style=""font-size:10pt"">DNS is port 53, more ports can be found here </span><a href=""https://vle.tdm.co.uk/mod/page/view.php?id=9115""><span class=""Hyperlink-H"" style=""font-size:10pt"">https://vle.tdm.co.uk/mod/page/view.php?id=9115</span></a><span style=""font-size:10pt""> </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+IZa4S0,assessment.accelerate-people.co.uk+201014173259+tEIZrG,0,1602696779,1602696779,2,2,
12,11,0,Q12,"<p><span style=""font-size:10pt"">How many bits long are IPv4 and IPv6 addresses?</span></p>",1,"<p><span style=""font-size:10pt"">IPv4 is 32 bit, IPv6 is 128 bit</span><span style=""font-size:10pt"">, </span><a href=""https://vle.tdm.co.uk/mod/page/view.php?id=9105""><span class=""Hyperlink-H"" style=""font-size:10pt"">https://vle.tdm.co.uk/mod/page/view.php?id=9105</span></a><span style=""font-size:10pt""> </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+kRFNSi,assessment.accelerate-people.co.uk+201014173259+kIZVFB,0,1602696779,1602696779,2,2,
13,11,0,Q13,"<p><span style=""font-size:10pt"">What type of numbering system does IPv6 use when written in human readable format</span></p>",1,"<p><span style=""font-size:10pt"">IPv4, each octet consists of a decimal number ranging from 0 to 255. These numbers are typically separated by periods. In IPv6, addresses are expressed as a series of eight 4-character hexadecimal numbers, which represent 16 bits each (for a total of 128 bits). </span></p><p><span style=""font-size:10pt"">Please review notes here, </span><a href=""https://vle.tdm.co.uk/mod/page/view.php?id=9105""><span class=""Hyperlink-H"" style=""font-size:10pt"">https://vle.tdm.co.uk/mod/page/view.php?id=9105</span></a><span style=""font-size:10pt""> </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+V4Hzpx,assessment.accelerate-people.co.uk+201014173259+PusqGG,0,1602696779,1602696779,2,2,
14,11,0,Q14,"<p><span style=""font-size:10pt"">What is 2 to the power of 6? (This is the 7</span><span style=""font-size:10pt""><sup>th</sup></span><span style=""font-size:10pt""> binary bit)</span></p>",1,"<p><span style=""font-size:10pt"">2x2x2x2x2x2 = 64. Please review the notes here, </span><a href=""https://vle.tdm.co.uk/mod/page/view.php?id=9111""><span class=""Hyperlink-H"" style=""font-size:10pt"">https://vle.tdm.co.uk/mod/page/view.php?id=9111</span></a><span style=""font-size:10pt""> </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+uF9kIs,assessment.accelerate-people.co.uk+201014173259+6etmUb,0,1602696779,1602696779,2,2,
15,11,0,Q15,"<p><span style=""font-size:10pt"">Convert 234 into 8 bit binary. </span></p>",1,"<p><span style=""font-size:10pt"">Please use the calculator here </span><a href=""http://easyonlineconverter.com/converters/bitwise-calculator.html""><span class=""Hyperlink-H"" style=""font-size:10pt"">http://easyonlineconverter.com/converters/bitwise-calculator.html</span></a><span style=""font-size:10pt""> </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+CRJsZ5,assessment.accelerate-people.co.uk+201014173259+9OnI7K,0,1602696779,1602696779,2,2,
