id,category,parent,name,questiontext,defaultmark,penalty,quizid,questioncategoryid,israndom
28,11,0,Q28,"<p><span style=""font-size:10pt"">Check Disk (chkdsk)</span><span style=""font-size:10pt""> </span><span style=""font-size:10pt"">is a command run utility that is used on DOS and Microsoft Windows-based systems to check the file system</span><span style=""font-size:10pt"">, Linux has a similar command, what is it?</span></p>",1.0000000,0.3333333,2,,N
28,11,0,Q28,"<p><span style=""font-size:10pt"">Check Disk (chkdsk)</span><span style=""font-size:10pt""> </span><span style=""font-size:10pt"">is a command run utility that is used on DOS and Microsoft Windows-based systems to check the file system</span><span style=""font-size:10pt"">, Linux has a similar command, what is it?</span></p>",1.0000000,0.3333333,3,,N
29,11,0,Q29,"<p><span style=""font-size:10pt"">What is the maximum individual file size on a FAT32 partition</span></p>",1.0000000,0.3333333,2,,N
29,11,0,Q29,"<p><span style=""font-size:10pt"">What is the maximum individual file size on a FAT32 partition</span></p>",1.0000000,0.3333333,3,,N
3,11,0,Q3,"<p><span style=""font-size:10pt"">A </span><span style=""font-size:10pt"">NIC (Network Interface Card) - Also referred to as an Ethernet card</span><span style=""font-size:10pt""> is a basic computer component, </span><span style=""font-size:10pt"">a NIC will be given a hardware address, which is unique, what is NOT a valid example of this address?</span></p>",1.0000000,0.3333333,2,,N
3,11,0,Q3,"<p><span style=""font-size:10pt"">A </span><span style=""font-size:10pt"">NIC (Network Interface Card) - Also referred to as an Ethernet card</span><span style=""font-size:10pt""> is a basic computer component, </span><span style=""font-size:10pt"">a NIC will be given a hardware address, which is unique, what is NOT a valid example of this address?</span></p>",1.0000000,0.3333333,3,,N
30,11,0,Q30,"<p><span style=""font-size:10pt"">Which of the following matches this definition “</span><span style=""font-size:10pt"">New product functionality that is first distributed outside the context of a product release and that is typically included in the next full product </span><span style=""font-size:10pt"">release.</span><span style=""font-size:10pt"">”</span></p>",1.0000000,0.3333333,2,,N
30,11,0,Q30,"<p><span style=""font-size:10pt"">Which of the following matches this definition “</span><span style=""font-size:10pt"">New product functionality that is first distributed outside the context of a product release and that is typically included in the next full product </span><span style=""font-size:10pt"">release.</span><span style=""font-size:10pt"">”</span></p>",1.0000000,0.3333333,3,,N
31,11,0,Q31,"<p><span style=""font-size:10pt"">A Windows service is a computer program that operates in the background. It is similar in concept to </span><span style=""font-size:10pt"">what in Linux?</span></p>",1.0000000,0.3333333,2,,N
31,11,0,Q31,"<p><span style=""font-size:10pt"">A Windows service is a computer program that operates in the background. It is similar in concept to </span><span style=""font-size:10pt"">what in Linux?</span></p>",1.0000000,0.3333333,3,,N
32,11,0,Q32,"<p><span style=""font-size:10pt"">What is the correct t</span><span style=""font-size:10pt"">ypical status sequences of maintenance tasks</span></p>",1.0000000,0.3333333,2,,N
32,11,0,Q32,"<p><span style=""font-size:10pt"">What is the correct t</span><span style=""font-size:10pt"">ypical status sequences of maintenance tasks</span></p>",1.0000000,0.3333333,3,,N
33,11,0,Q33,"<p><span style=""font-size:10pt"">Consider the following tasks, which would you do first? </span></p>",1.0000000,0.3333333,2,,N
33,11,0,Q33,"<p><span style=""font-size:10pt"">Consider the following tasks, which would you do first? </span></p>",1.0000000,0.3333333,3,,N
34,11,0,Q34,"<p><span style=""font-size:10pt"">What </span><span style=""font-size:10pt"">is a commitment between a service provider and a client</span></p>",1.0000000,0.3333333,2,,N
34,11,0,Q34,"<p><span style=""font-size:10pt"">What </span><span style=""font-size:10pt"">is a commitment between a service provider and a client</span></p>",1.0000000,0.3333333,3,,N
35,11,0,Q35,"<p><span style=""font-size:10pt"">What is true when considering personal and permiter firewalls?</span></p>",1.0000000,0.3333333,2,,N
35,11,0,Q35,"<p><span style=""font-size:10pt"">What is true when considering personal and permiter firewalls?</span></p>",1.0000000,0.3333333,3,,N
36,11,0,Q36,"<p><span style=""font-size:10pt"">You need to securely connect to the console of a firewall in the company in order to add some rules, this firewall does not have a web/graphical interface, which remote support protocol or service would be best suited? </span></p>",1.0000000,0.3333333,2,,N
36,11,0,Q36,"<p><span style=""font-size:10pt"">You need to securely connect to the console of a firewall in the company in order to add some rules, this firewall does not have a web/graphical interface, which remote support protocol or service would be best suited? </span></p>",1.0000000,0.3333333,3,,N
4,11,0,Q4,"<p><span style=""font-size:10pt"">Read the descriptions below, which is incorrect?</span></p>",1.0000000,0.3333333,2,,N
4,11,0,Q4,"<p><span style=""font-size:10pt"">Read the descriptions below, which is incorrect?</span></p>",1.0000000,0.3333333,3,,N
5,11,0,Q5,"<p><span style=""font-size:10pt"">A network is defined as a group of two or more computer systems linked together</span><span style=""font-size:10pt"">, which of the following is NOT a valid computer network type?</span></p>",1.0000000,0.3333333,2,,N
5,11,0,Q5,"<p><span style=""font-size:10pt"">A network is defined as a group of two or more computer systems linked together</span><span style=""font-size:10pt"">, which of the following is NOT a valid computer network type?</span></p>",1.0000000,0.3333333,3,,N
6,11,0,Q6,"<p><span style=""font-size:10pt"">Which service model would you be using to access your emails through a browser?</span></p>",1.0000000,0.3333333,2,,N
6,11,0,Q6,"<p><span style=""font-size:10pt"">Which service model would you be using to access your emails through a browser?</span></p>",1.0000000,0.3333333,3,,N
7,11,0,Q7,"<p><span style=""font-size:10pt"">Which is true of a class B network?</span></p>",1.0000000,0.3333333,2,,N
7,11,0,Q7,"<p><span style=""font-size:10pt"">Which is true of a class B network?</span></p>",1.0000000,0.3333333,3,,N
8,11,0,Q8,"<p><span style=""font-size:10pt"">What are the correct ranges for classes A,B and C networks?</span></p>",1.0000000,0.3333333,2,,N
8,11,0,Q8,"<p><span style=""font-size:10pt"">What are the correct ranges for classes A,B and C networks?</span></p>",1.0000000,0.3333333,3,,N
9,11,0,Q9,"<p><span style=""font-size:10pt"">How might you go about finding out your EXTERNAL IP address on a Windows system?</span></p>",1.0000000,0.3333333,2,,N
9,11,0,Q9,"<p><span style=""font-size:10pt"">How might you go about finding out your EXTERNAL IP address on a Windows system?</span></p>",1.0000000,0.3333333,3,,N
1,11,0,Q1,"<p><span style=""font-size:10pt"">Which of these is NOT a </span><strong><span style=""font-size:10pt"">common</span></strong><span style=""font-size:10pt""> type of record you </span><span style=""font-size:10pt"">would</span><span style=""font-size:10pt""> keep in your computer maintenance system</span></p>",1.0000000,0.3333333,2,,N
1,11,0,Q1,"<p><span style=""font-size:10pt"">Which of these is NOT a </span><strong><span style=""font-size:10pt"">common</span></strong><span style=""font-size:10pt""> type of record you </span><span style=""font-size:10pt"">would</span><span style=""font-size:10pt""> keep in your computer maintenance system</span></p>",1.0000000,0.3333333,3,,N
10,11,0,Q10,"<p><span style=""font-size:10pt"">Consider the following CIDR notations and their correspondong subnet masks, one of these does not match, which is it?</span></p>",1.0000000,0.3333333,2,,N
10,11,0,Q10,"<p><span style=""font-size:10pt"">Consider the following CIDR notations and their correspondong subnet masks, one of these does not match, which is it?</span></p>",1.0000000,0.3333333,3,,N
11,11,0,Q11,"<p><span style=""font-size:10pt"">DNS (Domain Name System) usees what port?</span></p>",1.0000000,0.3333333,2,,N
11,11,0,Q11,"<p><span style=""font-size:10pt"">DNS (Domain Name System) usees what port?</span></p>",1.0000000,0.3333333,3,,N
12,11,0,Q12,"<p><span style=""font-size:10pt"">How many bits long are IPv4 and IPv6 addresses?</span></p>",1.0000000,0.3333333,2,,N
12,11,0,Q12,"<p><span style=""font-size:10pt"">How many bits long are IPv4 and IPv6 addresses?</span></p>",1.0000000,0.3333333,3,,N
13,11,0,Q13,"<p><span style=""font-size:10pt"">What type of numbering system does IPv6 use when written in human readable format</span></p>",1.0000000,0.3333333,2,,N
13,11,0,Q13,"<p><span style=""font-size:10pt"">What type of numbering system does IPv6 use when written in human readable format</span></p>",1.0000000,0.3333333,3,,N
14,11,0,Q14,"<p><span style=""font-size:10pt"">What is 2 to the power of 6? (This is the 7</span><span style=""font-size:10pt""><sup>th</sup></span><span style=""font-size:10pt""> binary bit)</span></p>",1.0000000,0.3333333,2,,N
14,11,0,Q14,"<p><span style=""font-size:10pt"">What is 2 to the power of 6? (This is the 7</span><span style=""font-size:10pt""><sup>th</sup></span><span style=""font-size:10pt""> binary bit)</span></p>",1.0000000,0.3333333,3,,N
15,11,0,Q15,"<p><span style=""font-size:10pt"">Convert 234 into 8 bit binary. </span></p>",1.0000000,0.3333333,2,,N
15,11,0,Q15,"<p><span style=""font-size:10pt"">Convert 234 into 8 bit binary. </span></p>",1.0000000,0.3333333,3,,N
16,11,0,Q16,"<p><span style=""font-size:10pt"">Calculate 10110011 AND 11101110, then convert it to decimal.</span></p>",1.0000000,0.3333333,2,,N
16,11,0,Q16,"<p><span style=""font-size:10pt"">Calculate 10110011 AND 11101110, then convert it to decimal.</span></p>",1.0000000,0.3333333,3,,N
17,11,0,Q17,"<p><span style=""font-size:10pt"">Calculate 11110000 OR 00001111 and convert to decimal. Hint: You shouldn’t need a calculator for this one (but it’s OK if you do use one)</span></p>",1.0000000,0.3333333,2,,N
17,11,0,Q17,"<p><span style=""font-size:10pt"">Calculate 11110000 OR 00001111 and convert to decimal. Hint: You shouldn’t need a calculator for this one (but it’s OK if you do use one)</span></p>",1.0000000,0.3333333,3,,N
18,11,0,Q18,"<p><span style=""font-size:10pt"">Calculate NOT </span><span style=""font-size:10pt"">10101010</span><span style=""font-size:10pt""> in binary. </span></p>",1.0000000,0.3333333,2,,N
18,11,0,Q18,"<p><span style=""font-size:10pt"">Calculate NOT </span><span style=""font-size:10pt"">10101010</span><span style=""font-size:10pt""> in binary. </span></p>",1.0000000,0.3333333,3,,N
19,11,0,Q19,"<p><span style=""font-size:10pt"">Identify the network part of this address: 192.168.100.50 / 16</span></p>",1.0000000,0.3333333,2,,N
19,11,0,Q19,"<p><span style=""font-size:10pt"">Identify the network part of this address: 192.168.100.50 / 16</span></p>",1.0000000,0.3333333,3,,N
2,11,0,Q2,"<p><span style=""font-size:10pt"">Which of these is NOT a purpose for keeping maintenance records</span></p>",1.0000000,0.3333333,2,,N
