id,course,name,intro,introformat,timeopen,timeclose,timelimit,overduehandling,graceperiod,preferredbehaviour,canredoquestions,attempts,attemptonlast,grademethod,decimalpoints,questiondecimalpoints,reviewattempt,reviewcorrectness,reviewmarks,reviewspecificfeedback,reviewgeneralfeedback,reviewrightanswer,reviewoverallfeedback,questionsperpage,navmethod,shuffleanswers,sumgrades,grade,timecreated,timemodified,password,subnet,browsersecurity,delay1,delay2,showuserpicture,showblocks,completionattemptsexhausted,completionpass,allowofflineattempts
1,2,"Dell EMC Practice Exam","<p dir=""ltr"" style=""text-align: left;"">Dell EMC Practice Exam_V1<br></p>",1,0,0,0,autosubmit,0,deferredfeedback,0,0,0,1,2,-1,69888,4352,4352,4352,4352,4352,4352,1,free,1,47.00000,10.00000,1602694042,1602694042,,,-,0,0,0,0,0,0,0
2,2,"Ian's Test Quiz with Safe Exam Browser",,1,0,0,0,autosubmit,0,deferredfeedback,0,0,0,1,2,-1,69888,4352,4352,4352,4352,4352,4352,1,free,1,37.00000,10.00000,1602696743,1602697603,,,-,0,0,0,0,0,0,0
3,2,TestWordUpload,,1,0,0,0,autosubmit,0,deferredfeedback,0,0,0,1,2,-1,69888,4352,4352,4352,4352,4352,4352,1,free,1,37.00000,10.00000,1604678204,1604678204,,,-,0,0,0,0,0,0,0
4,2,ImportTest-2020-11-07,,1,0,0,0,autosubmit,0,deferredfeedback,0,0,0,1,2,-1,69888,4352,4352,4352,4352,4352,4352,1,free,1,0.00000,10.00000,1604759152,1604759152,,,-,0,0,0,0,0,0,0
5,3,"Digital Support Technician - Practice Test - Core","<p dir=""ltr"" style=""text-align: left;"">20 Question Practice Test&nbsp;</p>",1,0,0,2400,autosubmit,0,deferredfeedback,0,0,0,1,2,-1,65536,0,4352,0,0,0,0,1,free,0,16.00000,16.00000,1604866249,1605724261,,,-,0,0,0,0,0,1,0
6,3,"Digital Application - Practice Test","<p dir=""ltr"" style=""text-align: left;"">8 Question Practice Test&nbsp;</p>",1,0,0,900,autosubmit,0,deferredfeedback,0,0,0,1,2,-1,65536,0,4352,0,0,0,0,1,free,1,8.00000,8.00000,1605618787,1606836126,,,-,0,0,0,0,0,1,0
7,3,"Digital Service - Practice Test","<p dir=""ltr"" style=""text-align: left;"">10 Question Practice Test</p>",1,0,0,0,autosubmit,0,deferredfeedback,0,0,0,1,2,-1,65536,0,4352,0,0,0,0,1,free,1,10.00000,10.00000,1605619721,1605725880,,,-,0,0,0,0,0,1,0
8,3,"Digital Support Technician - EPA Test",,1,0,0,0,autosubmit,0,deferredfeedback,0,0,0,1,2,-1,69888,0,4352,0,0,0,0,1,free,1,0.00000,10.00000,1605629567,1605630594,,,-,432000,432000,0,0,0,1,0
9,3,"Digital Application Technician -EPA Test",,1,0,0,0,autosubmit,0,deferredfeedback,0,0,0,1,2,-1,65536,0,0,0,0,0,0,1,free,1,8.00000,10.00000,1605629653,1605630156,,,-,0,0,0,0,0,0,0
10,3,"Digital Service Technician - EPA Test",,1,0,0,900,autosubmit,0,deferredfeedback,0,0,0,1,2,-1,65536,0,4352,0,0,0,0,1,free,1,10.00000,10.00000,1605629779,1605724551,,,-,432000,432000,0,0,0,1,0
12,4,"Knowledge Unit 2 (KU2) Digital Applications Knowledge (option 1)","<p dir=""ltr"" style=""text-align: left;""><p dir=""ltr""><strong>Digital Application Technician, Knowledge Unit 2 (KU2)&nbsp;<br></strong></p><p dir=""ltr"">This exam is a multiple-choice test and consists of&nbsp;20 knowledge-based multiple-choice questions for you to answer.&nbsp;<br></p><p><strong>Each exam question will:</strong></p><div><ul><li>Have four options to choose from.</li><li>Only one option that is correct.</li><li>Each correct question will score 1 mark</li><li>Any missing or incorrect answers will score 0 marks</li></ul><p><strong>You will have 30 minutes to complete the exam and you will need a score of 13/20 (65%) or above to pass.&nbsp;</strong></p></div><br></p>",1,0,0,0,autosubmit,0,deferredfeedback,0,0,0,1,2,-1,69888,4352,4352,4352,4352,4352,4352,1,free,1,20.00000,20.00000,1607947745,1607947860,,,-,0,0,0,0,0,0,0
13,5,Test-AMB,,1,0,0,0,autosubmit,0,deferredfeedback,0,0,0,1,2,-1,69888,4352,4352,4352,4352,4352,4352,1,free,1,2.00000,10.00000,1608032023,1608032995,,,-,0,0,0,0,0,0,0
